recipe_id,ingredients,cooking_instructions,recipe_name,Net Price,image_path
154,"pasta, tomato sauce, garlic, basil, mozzarella cheese","1. Cook pasta. 2. Sauté garlic in olive oil. 3. Mix with tomato sauce, basil, and mozzarella cheese.",Garlic Tomato Mozzarella Pasta,900,Recipes Pictures\Garlic Tomato Mozzarella Pasta.jpeg
155,"salmon, lemon, garlic, butter, parsley","1. Season salmon with lemon, garlic, and parsley. 2. Sauté in butter until flaky.",Lemon Garlic Butter Parsley Salmon,1100,Recipes Pictures\Lemon Garlic Butter Parsley Salmon.jpeg
156,"beef, bell pepper, onion, ginger, teriyaki sauce","1. Sauté beef with bell pepper, onion, ginger, and teriyaki sauce. 2. Serve over rice.",Teriyaki Ginger Beef Stir-Fry,1450,Recipes Pictures\Teriyaki Ginger Beef Stir-Fry.jpeg
157,"chicken, lemon, garlic, thyme, honey","1. Season chicken with lemon, garlic, thyme, and honey. 2. Bake until tender and drizzle with honey.",Honey Lemon Thyme Baked Chicken,1050,Recipes Pictures\Honey Lemon Thyme Baked Chicken.jpeg
159,"salmon, lemon, garlic, dill, butter","1. Season salmon with lemon, garlic, and dill. 2. Sauté in butter until flaky.",Lemon Dill Butter Salmon,1100,Recipes Pictures\Lemon Dill Butter Salmon.jpeg
171,"chicken, yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, salt, vegetable oil, onion, tomato, fresh cilantro leaves","1. Marinate the chicken in yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, and salt. 2. Heat vegetable oil in a skillet and sauté chopped onion until translucent. 3. Add marinated chicken and cook until browned. 4. Stir in chopped tomato and cook until soft. 5. Garnish with fresh cilantro leaves before serving.",Chicken Curry,550,Recipes Pictures\Chicken Curry.jpeg
172,"basmati rice, water, ghee, cinnamon stick, green cardamom pods, cloves, bay leaf, salt","1. Wash the rice and soak it in water for 30 minutes. 2. In a large saucepan, heat ghee and add whole spices - cinnamon stick, green cardamom pods, cloves, and bay leaf. 3. Drain the soaked rice and add it to the saucepan. Stir to coat with ghee and spices. 4. Add water and salt. 5. Bring to a boil, then simmer until the rice is tender. 6. Fluff the rice before serving.",Indian Pulao,450,Recipes Pictures\Indian Pulao.jpeg
173,"lentils, water, vegetable oil, onion, garlic, ginger, cumin seeds, turmeric powder, chili powder, salt, fresh cilantro leaves","1. Rinse lentils and drain. 2. In a large pot, heat vegetable oil and add cumin seeds. 3. Sauté chopped onion, garlic, and ginger until fragrant. 4. Stir in turmeric powder and chili powder. 5. Add lentils and water, bring to a boil, then simmer until lentils are tender. 6. Season with salt. 7. Garnish with fresh cilantro leaves.",Lentil Curry (Dal),300,Recipes Pictures\Lentil Curry (Dal).jpeg
174,"chickpeas, onion, garlic, ginger, tomatoes, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, salt, vegetable oil, fresh cilantro leaves","1. In a skillet, heat vegetable oil and sauté chopped onion until translucent. 2. Add minced garlic and ginger; cook for a minute. 3. Stir in garam masala, turmeric powder, chili powder, cumin powder, and coriander powder. 4. Add chopped tomatoes and cook until soft. 5. Add chickpeas and simmer until heated through. 6. Season with salt. 7. Garnish with fresh cilantro leaves.",Chana Masala,300,Recipes Pictures\Chana Masala.jpeg
175,"potatoes, cauliflower, peas, vegetable oil, cumin seeds, ginger, garlic, green chili peppers, turmeric powder, chili powder, cumin powder, coriander powder, garam masala, salt, fresh cilantro leaves","1. Heat vegetable oil in a pan and add cumin seeds. 2. Sauté minced ginger, garlic, and green chili peppers. 3. Add turmeric powder, chili powder, cumin powder, coriander powder, and garam masala. 4. Add diced potatoes, cauliflower florets, and peas. 5. Cook until vegetables are tender. 6. Season with salt. 7. Garnish with fresh cilantro leaves.",Aloo Gobi,250,Recipes Pictures\Aloo Gobi.jpeg
176,"paneer, onion, tomatoes, ginger, garlic, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, salt, vegetable oil, fresh cilantro leaves","1. Heat vegetable oil in a pan and sauté chopped onion until golden brown. 2. Add minced ginger and garlic; cook for a minute. 3. Stir in garam masala, turmeric powder, chili powder, cumin powder, and coriander powder. 4. Add chopped tomatoes and cook until soft. 5. Add cubed paneer and simmer until heated through. 6. Season with salt. 7. Garnish with fresh cilantro leaves.",Paneer Tikka Masala,750,Recipes Pictures\Paneer Tikka Masala.jpeg
177,"spinach, paneer, onion, tomatoes, ginger, garlic, garam masala, turmeric powder, chili powder, cumin powder, salt, vegetable oil, fresh cilantro leaves","1. Heat vegetable oil in a pan and sauté chopped onion until translucent. 2. Add minced ginger and garlic; cook for a minute. 3. Stir in garam masala, turmeric powder, chili powder, and cumin powder. 4. Add chopped tomatoes and cook until soft. 5. Add paneer cubes and spinach. 6. Cook until spinach wilts and paneer is heated through. 7. Season with salt. 8. Garnish with fresh cilantro leaves.",Palak Paneer,550,Recipes Pictures\Palak Paneer.jpeg
178,"chicken, yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, salt, vegetable oil, onion, tomatoes, fresh cilantro leaves","1. Marinate chicken in yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, and salt. 2. Heat vegetable oil in a skillet and sauté chopped onion until golden brown. 3. Add chopped tomatoes and cook until soft. 4. Add marinated chicken and cook until browned. 5. Garnish with fresh cilantro leaves before serving.",Butter Chicken,450,Recipes Pictures\Butter Chicken.jpeg
179,"lamb, yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, salt, vegetable oil, onion, tomatoes, fresh cilantro leaves","1. Marinate lamb in yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, and salt. 2. Heat vegetable oil in a skillet and sauté chopped onion until golden brown. 3. Add chopped tomatoes and cook until soft. 4. Add marinated lamb and cook until browned. 5. Garnish with fresh cilantro leaves before serving.",Lamb Curry,550,Recipes Pictures\Lamb Curry.jpeg
180,"shrimp, onion, tomatoes, ginger, garlic, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, salt, vegetable oil, fresh cilantro leaves","1. Heat vegetable oil in a skillet and sauté chopped onion until translucent. 2. Add minced ginger and garlic; cook for a minute. 3. Stir in garam masala, turmeric powder, chili powder, cumin powder, and coriander powder. 4. Add chopped tomatoes and cook until soft. 5. Add shrimp and cook until pink and cooked through. 6. Season with salt. 7. Garnish with fresh cilantro leaves.",Shrimp Curry,650,Recipes Pictures\Shrimp Curry.jpeg
181,"fish fillets, turmeric powder, chili powder, cumin powder, salt, vegetable oil, onion, ginger, garlic, tomatoes, green chili peppers, fresh cilantro leaves","1. Marinate fish fillets with turmeric powder, chili powder, cumin powder, and salt. 2. Heat vegetable oil in a skillet and sauté chopped onion until translucent. 3. Add minced ginger, garlic, and green chili peppers; cook for a minute. 4. Add chopped tomatoes and cook until soft. 5. Add marinated fish and cook until it flakes easily. 6. Garnish with fresh cilantro leaves before serving.",Fish Curry,600,Recipes Pictures\Fish Curry.jpeg
183,"potatoes, green peas, vegetable oil, cumin seeds, ginger, green chili peppers, turmeric powder, chili powder, cumin powder, salt, fresh cilantro leaves","1. Heat vegetable oil in a pan and add cumin seeds. 2. Sauté minced ginger and green chili peppers. 3. Add diced potatoes and green peas. 4. Stir in turmeric powder, chili powder, and cumin powder. 5. Cook until potatoes are tender. 6. Season with salt. 7. Garnish with fresh cilantro leaves.",Aloo Matar,250,Recipes Pictures\Aloo Matar.jpeg
184,"okra, vegetable oil, cumin seeds, onion, ginger, garlic, turmeric powder, chili powder, cumin powder, coriander powder, salt, fresh cilantro leaves","1. Heat vegetable oil in a pan and add cumin seeds. 2. Sauté chopped onion until translucent. 3. Add minced ginger and garlic; cook for a minute. 4. Stir in turmeric powder, chili powder, cumin powder, and coriander powder. 5. Add sliced okra and cook until tender. 6. Season with salt. 7. Garnish with fresh cilantro leaves.",Bhindi Masala,300,Recipes Pictures\Bhindi Masala.jpeg
185,"eggplant, vegetable oil, cumin seeds, onion, ginger, garlic, tomatoes, turmeric powder, chili powder, cumin powder, coriander powder, salt, fresh cilantro leaves","1. Heat vegetable oil in a pan and add cumin seeds. 2. Sauté chopped onion until translucent. 3. Add minced ginger and garlic; cook for a minute. 4. Stir in turmeric powder, chili powder, cumin powder, and coriander powder. 5. Add diced eggplant and chopped tomatoes. 6. Cook until eggplant is tender. 7. Season with salt. 8. Garnish with fresh cilantro leaves.",Baingan Bharta,400,Recipes Pictures\Baingan Bharta.jpeg
186,"chicken, rice flour, cornstarch, ginger-garlic paste, soy sauce, red chili flakes, vegetable oil, onion, bell peppers, green chili peppers, fresh cilantro leaves","1. In a bowl, mix chicken with rice flour, cornstarch, ginger-garlic paste, soy sauce, and red chili flakes. 2. Heat vegetable oil in a skillet and add chopped onion and bell peppers. Sauté until tender. 3. Add marinated chicken and cook until crispy and cooked through. 4. Stir in green chili peppers and cook for a minute. 5. Garnish with fresh cilantro leaves before serving.",Chilli Chicken,500,Recipes Pictures\Chilli Chicken.jpeg
187,"potatoes, vegetable oil, mustard seeds, cumin seeds, turmeric powder, chili powder, salt, fresh cilantro leaves","1. Heat vegetable oil in a pan and add mustard seeds and cumin seeds. 2. Sauté until they sizzle. 3. Add diced potatoes and cook until tender. 4. Stir in turmeric powder, chili powder, and salt. 5. Cook until potatoes are crispy. 6. Garnish with fresh cilantro leaves.",Aloo Fry,300,Recipes Pictures\Aloo Fry.jpeg
188,"chicken, yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, salt, vegetable oil, onion, fresh cilantro leaves","1. Marinate chicken in yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, and salt. 2. Heat vegetable oil in a skillet and add chopped onion. Sauté until golden brown. 3. Add marinated chicken and cook until browned. 4. Garnish with fresh cilantro leaves before serving.",Chicken Korma,400,Recipes Pictures\Chicken Korma.jpeg
189,"potatoes, cauliflower, green peas, vegetable oil, cumin seeds, ginger, garlic, turmeric powder, chili powder, cumin powder, salt, fresh cilantro leaves","1. Heat vegetable oil in a pan and add cumin seeds. 2. Sauté minced ginger and garlic. 3. Add diced potatoes, cauliflower florets, and green peas. 4. Stir in turmeric powder, chili powder, cumin powder, and salt. 5. Cook until vegetables are tender. 6. Garnish with fresh cilantro leaves.",Aloo Gobi Matar,350,Recipes Pictures\Aloo Gobi Matar.jpeg
190,"spinach, garlic, ginger, green chili peppers, garam masala, salt, vegetable oil, fresh lemon juice","1. Heat vegetable oil in a pan and add minced garlic, ginger, and green chili peppers. 2. Sauté until fragrant. 3. Add chopped spinach and cook until wilted. 4. Stir in garam masala and salt. 5. Cook for a few more minutes. 6. Finish with a squeeze of fresh lemon juice before serving.",Saag,300,Recipes Pictures\Saag.jpeg
191,"chicken, rice, saffron threads, warm milk, yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, salt, vegetable oil, onion, fresh cilantro leaves","1. Soak saffron threads in warm milk. 2. Marinate chicken in yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, and salt. 3. Heat vegetable oil in a skillet and add chopped onion. Sauté until golden brown. 4. Add marinated chicken and cook until browned. 5. Layer cooked rice with chicken and saffron milk. 6. Garnish with fresh cilantro leaves before serving.",Chicken Biryani,350,Recipes Pictures\Chicken Biryani.jpeg
192,"lamb, rice, saffron threads, warm milk, yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, salt, vegetable oil, onion, fresh cilantro leaves","1. Soak saffron threads in warm milk. 2. Marinate lamb in yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, and salt. 3. Heat vegetable oil in a skillet and add chopped onion. Sauté until golden brown. 4. Add marinated lamb and cook until browned. 5. Layer cooked rice with lamb and saffron milk. 6. Garnish with fresh cilantro leaves before serving.",Lamb Biryani,400,Recipes Pictures\Lamb Biryani.jpeg
193,"shrimp, rice, saffron threads, warm milk, yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, salt, vegetable oil, onion, fresh cilantro leaves","1. Soak saffron threads in warm milk. 2. Marinate shrimp in yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, and salt. 3. Heat vegetable oil in a skillet and add chopped onion. Sauté until golden brown. 4. Add marinated shrimp and cook until pink and cooked through. 5. Layer cooked rice with shrimp and saffron milk. 6. Garnish with fresh cilantro leaves before serving.",Shrimp Biryani,500,Recipes Pictures\Shrimp Biryani.jpeg
194,"rice vermicelli, vegetable oil, mustard seeds, cumin seeds, urad dal, chana dal, dried red chili peppers, curry leaves, onion, green beans, carrot, green peas, turmeric powder, salt, fresh cilantro leaves","1. Cook rice vermicelli according to package instructions, drain, and set aside. 2. In a pan, heat vegetable oil and add mustard seeds, cumin seeds, urad dal, chana dal, dried red chili peppers, and curry leaves. Sauté until the dals turn golden. 3. Add chopped onion and cook until translucent. 4. Stir in green beans, carrot, green peas, and turmeric powder. 5. Cook until vegetables are tender. 6. Add cooked vermicelli and salt. 7. Garnish with fresh cilantro leaves.",Vermicelli Upma,450,Recipes Pictures\Vermicelli Upma.jpeg
195,"chickpea flour, vegetable oil, mustard seeds, cumin seeds, urad dal, chana dal, dried red chili peppers, asafoetida, fresh curry leaves, ginger, green chili peppers, turmeric powder, salt, fresh cilantro leaves","1. In a pan, heat vegetable oil and add mustard seeds, cumin seeds, urad dal, chana dal, dried red chili peppers, asafoetida, and fresh curry leaves. Sauté until the dals turn golden. 2. Add minced ginger and green chili peppers; cook for a minute. 3. Stir in chickpea flour and turmeric powder. 4. Cook, stirring continuously, until the mixture turns golden brown and aromatic. 5. Season with salt. 6. Garnish with fresh cilantro leaves.",Besan Chilla,250,Recipes Pictures\Besan Chilla.jpeg
196,"rice, lentils, vegetable oil, mustard seeds, cumin seeds, urad dal, chana dal, dried red chili peppers, asafoetida, fresh curry leaves, ginger, turmeric powder, salt, fresh cilantro leaves","1. Wash rice and lentils together and cook until soft. 2. In a pan, heat vegetable oil and add mustard seeds, cumin seeds, urad dal, chana dal, dried red chili peppers, asafoetida, and fresh curry leaves. Sauté until the dals turn golden. 3. Add minced ginger and turmeric powder; cook for a minute. 4. Stir in the cooked rice and lentils. 5. Season with salt. 6. Garnish with fresh cilantro leaves.",Tamarind Rice,350,Recipes Pictures\Tamarind Rice.jpeg
198,"eggplant, vegetable oil, mustard seeds, cumin seeds, urad dal, chana dal, dried red chili peppers, asafoetida, fresh curry leaves, turmeric powder, salt, fresh cilantro leaves","1. Dice eggplant. 2. In a pan, heat vegetable oil and add mustard seeds, cumin seeds, urad dal, chana dal, dried red chili peppers, asafoetida, and fresh curry leaves. Sauté until the dals turn golden. 3. Add diced eggplant and turmeric powder; cook until eggplant is tender. 4. Season with salt. 5. Garnish with fresh cilantro leaves.",Baingan Fry (Eggplant Fry),250,Recipes Pictures\Baingan Fry (Eggplant Fry).jpeg
199,"okra, vegetable oil, mustard seeds, cumin seeds, urad dal, chana dal, dried red chili peppers, asafoetida, fresh curry leaves, turmeric powder, salt, fresh cilantro leaves","1. Trim the ends of okra and slice them. 2. In a pan, heat vegetable oil and add mustard seeds, cumin seeds, urad dal, chana dal, dried red chili peppers, asafoetida, and fresh curry leaves. Sauté until the dals turn golden. 3. Add sliced okra and turmeric powder; cook until okra is tender. 4. Season with salt. 5. Garnish with fresh cilantro leaves.",Bhindi Fry (Okra Fry),300,Recipes Pictures\Bhindi Fry (Okra Fry).jpeg
200,"chicken, rice, yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, salt, vegetable oil, onion, fresh cilantro leaves","1. Marinate chicken in yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, and salt. 2. Heat vegetable oil in a skillet and add chopped onion. Sauté until golden brown. 3. Add marinated chicken and cook until browned. 4. Garnish with fresh cilantro leaves before serving.",Chicken Pulao,400,Recipes Pictures\Chicken Pulao.jpeg
201,"lamb, rice, yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, salt, vegetable oil, onion, fresh cilantro leaves","1. Marinate lamb in yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, and salt. 2. Heat vegetable oil in a skillet and add chopped onion. Sauté until golden brown. 3. Add marinated lamb and cook until browned. 4. Garnish with fresh cilantro leaves before serving.",Lamb Pulao,450,Recipes Pictures\Lamb Pulao.jpeg
202,"shrimp, rice, yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, salt, vegetable oil, onion, fresh cilantro leaves","1. Marinate shrimp in yogurt, ginger-garlic paste, garam masala, turmeric powder, chili powder, cumin powder, coriander powder, and salt. 2. Heat vegetable oil in a skillet and add chopped onion. Sauté until golden brown. 3. Add marinated shrimp and cook until pink and cooked through. 4. Garnish with fresh cilantro leaves before serving.",Shrimp Pulao,500,Recipes Pictures\Shrimp Pulao.jpeg
204,"Minced meat, potatoes, onions, tomatoes, ginger, garlic, cumin seeds, coriander powder, turmeric, red chili powder, green chilies, cilantro","1. Sauté onions, tomatoes, and spices. 2. Add minced meat and cook. 3. Add potatoes and simmer. 4. Garnish with cilantro.",Aloo Keema (Minced Meat with Potatoes),350,Recipes Pictures\Aloo Keema (Minced Meat with Potatoes).jpeg
205,"Chicken or beef, wheat, barley, lentils, ghee, ginger, garlic, garam masala, turmeric, red chili powder, cumin seeds, coriander powder, mint leaves, cilantro","1. Cook grains and lentils. 2. Sauté ginger, garlic, and spices. 3. Add meat and simmer. 4. Garnish with mint and cilantro.",Haleem,300,Recipes Pictures\Haleem.jpeg
206,"Beef or mutton, wheat flour, ghee, ginger, garlic, garam masala, turmeric, red chili powder, cumin seeds, coriander powder, mint leaves, cilantro","1. Sauté ginger, garlic, and spices. 2. Add meat and cook. 3. Simmer with wheat flour. 4. Garnish with mint and cilantro.",Nihari,500,.jpegRecipes Pictures\Nihari
207,"Chicken, onions, tomatoes, ginger, garlic, yogurt, garam masala, turmeric, red chili powder, cumin seeds, coriander powder, green chilies, cilantro","1. Marinate chicken in yogurt and spices. 2. Sauté onions, tomatoes, and spices. 3. Add chicken and cook. 4. Garnish with cilantro.",Chicken Karahi,550,Recipes Pictures\Chicken Karahi.jpeg
209,"Beef, potatoes, onions, tomatoes, ginger, garlic, garam masala, turmeric, red chili powder, cumin seeds, coriander powder, green chilies, cilantro","1. Sauté onions, tomatoes, and spices. 2. Add beef and cook. 3. Add potatoes and simmer. 4. Garnish with cilantro.",Aloo Gosht (Beef with Potatoes),450,Recipes Pictures\Aloo Gosht (Beef with Potatoes).jpeg
211,"Lentils, onions, tomatoes, ginger, garlic, turmeric, red chili powder, cumin seeds, coriander powder, garam masala, green chilies, cilantro","1. Cook lentils. 2. Sauté onions, tomatoes, and spices. 3. Add lentils and simmer. 4. Garnish with cilantro.",Tarka Daal (Tempered Lentils),300,Recipes Pictures\Tarka Daal (Tempered Lentils).jpeg
212,"Fish, gram flour, ginger, garlic, red chili powder, turmeric, cumin seeds, coriander powder, garam masala, mint leaves, cilantro",1. Coat fish in gram flour and spices. 2. Fry until golden. 3. Garnish with mint and cilantro.,Masala Fish Fry,750,Recipes Pictures\Masala Fish Fry.jpeg
213,"Chicken, onions, tomatoes, ginger, garlic, garam masala, turmeric, red chili powder, cumin seeds, coriander powder, green chilies, cilantro","1. Sauté onions, tomatoes, and spices. 2. Add chicken and cook. 3. Garnish with cilantro.",Chicken Jalfrezi,500,Recipes Pictures\Chicken Jalfrezi.jpeg
215,"Potatoes, green peas, onions, tomatoes, ginger, garlic, turmeric, red chili powder, cumin seeds, coriander powder, garam masala, cilantro","1. Sauté onions, tomatoes, and spices. 2. Add potatoes and peas. 3. Simmer until tender. 4. Garnish with cilantro.",Aloo Matar (Potatoes with Green Peas),200,Recipes Pictures\Aloo Matar (Potatoes with Green Peas).jpeg
216,"Chicken, yogurt, ginger, garlic, garam masala, turmeric, red chili powder, cumin seeds, coriander powder, mint leaves, cilantro","1. Marinate chicken in yogurt, ginger, and garlic. 2. Sauté spices. 3. Add chicken and cook. 4. Garnish with mint and cilantro.",Chicken Saagwala,350,Recipes Pictures\Chicken Saagwala.jpeg
217,"Beef, gram flour, onions, tomatoes, ginger, garlic, garam masala, turmeric, red chili powder, cumin seeds, coriander powder, mint leaves, cilantro","1. Sauté onions, tomatoes, and spices. 2. Add beef and cook. 3. Garnish with mint and cilantro.",Beef Kofta Curry,550,Recipes Pictures\Beef Kofta Curry.jpeg
218,"Eggplant, tomatoes, onions, ginger, garlic, turmeric, red chili powder, cumin seeds, coriander powder, garam masala, cilantro","1. Sauté onions, tomatoes, and spices. 2. Add eggplant and cook. 3. Garnish with cilantro.",Baingan Bharta (Mashed Eggplant),250,Recipes Pictures\Baingan Bharta (Mashed Eggplant).jpeg
219,"Chicken, yogurt, ginger, garlic, garam masala, turmeric, red chili powder, cumin seeds, coriander powder, mint leaves, cilantro","1. Marinate chicken in yogurt, ginger, and garlic. 2. Sauté spices. 3. Add chicken and cook. 4. Garnish with mint and cilantro.",Chicken Handi,550,Recipes Pictures\Chicken Handi.jpeg
220,"Fish, mustard oil, mustard seeds, ginger, garlic, turmeric, red chili powder, cumin seeds, coriander powder, green chilies, cilantro","1. Marinate fish in mustard oil, ginger, and garlic. 2. Sauté spices. 3. Add fish and cook. 4. Garnish with cilantro.",Sarson Machli (Mustard Fish),950,Recipes Pictures\Sarson Machli (Mustard Fish).jpeg
221,"Lamb, yogurt, ginger, garlic, garam masala, turmeric, red chili powder, cumin seeds, coriander powder, mint leaves, cilantro","1. Marinate lamb in yogurt, ginger, and garlic. 2. Sauté spices. 3. Add lamb and cook. 4. Garnish with mint and cilantro.",Lamb Rogan Josh,1250,Recipes Pictures\Lamb Rogan Josh.jpeg
222,"Spinach, potatoes, onions, tomatoes, ginger, garlic, turmeric, red chili powder, cumin seeds, coriander powder, garam masala, cilantro","1. Sauté onions, tomatoes, and spices. 2. Add spinach and potatoes. 3. Simmer until tender. 4. Garnish with cilantro.",Saag Aloo (Spinach with Potatoes),300,Recipes Pictures\Saag Aloo (Spinach with Potatoes).jpeg
223,"Chicken, onions, tomatoes, ginger, garlic, garam masala, turmeric, red chili powder, cumin seeds, coriander powder, green chilies, cilantro","1. Sauté onions, tomatoes, and spices. 2. Add chicken and cook. 3. Garnish with cilantro.",Chicken Malai Boti,550,Recipes Pictures\Chicken Malai Boti.jpeg
225,"Cauliflower, potatoes, onions, tomatoes, ginger, garlic, turmeric, red chili powder, cumin seeds, coriander powder, garam masala, cilantro","1. Sauté onions, tomatoes, and spices. 2. Add cauliflower and potatoes. 3. Simmer until tender. 4. Garnish with cilantro.",Aloo Gobi (Cauliflower with Potatoes),250,Recipes Pictures\Aloo Gobi (Cauliflower with Potatoes).jpeg
226,"Chicken, yogurt, ginger, garlic, garam masala, turmeric, red chili powder, cumin seeds, coriander powder, mint leaves, cilantro","1. Marinate chicken in yogurt, ginger, and garlic. 2. Sauté spices. 3. Add chicken and cook. 4. Garnish with mint and cilantro.",Chicken Reshmi Kebab,750,Recipes Pictures\Chicken Reshmi Kebab.jpeg
227,"Lamb, yogurt, ginger, garlic, garam masala, turmeric, red chili powder, cumin seeds, coriander powder, mint leaves, cilantro","1. Marinate lamb in yogurt, ginger, and garlic. 2. Sauté spices. 3. Add lamb and cook. 4. Garnish with mint and cilantro.",Lamb Bihari Boti,800,Recipes Pictures\Lamb Bihari Boti.jpeg
